Region.I,Month,Year,Temperature,Humidity,Population Density,Dengue_Cases
Region.I,Aug,2013,23.35,5.0807955252,504.6741219604,35.539336
Region.I,Sep,2013,22.54,14.7886886265,504.7541655099,76.658112
Region.I,Oct,2013,19.96,8.3561218148,504.9268189153,23.771792
Region.I,Nov,2013,16.3,16.9888129273,504.9803589874,71.856413
Region.I,Dec,2013,14.39,20.077688005,505.1421977554,29.587935
Region.I,Jan,2014,14.07,18.1199502797,505.2088372487,8.898958
Region.I,Feb,2014,14.85,25,505.2288799469,5.173039
Region.I,Mar,2014,17.05,17.9583592293,505.2405309356,28.792703
Region.I,Apr,2014,22.17,23.6575512741,505.3053793658,33.16733
Region.I,May,2014,22.39,13.3032939714,505.3800805595,20.209783
Region.I,Jun,2014,23.4,6.031696706,505.4255980888,47.605266
Region.I,Jul,2014,23.51,2.5885643257,505.5328171563,18.56306
Region.I,Aug,2014,23.19,1.532007458,505.57462585,59.348563
Region.I,Sep,2014,21.84,12.5450590429,505.7082937847,24.268373
Region.I,Oct,2014,19.55,8.5674331883,505.7629522825,5.22294
Region.I,Nov,2014,16.37,15.3293971411,505.7747156608,4.025323
Region.I,Dec,2014,12.5,9.7358607831,505.7837817036,10.745284
Region.I,Jan,2015,13.14,23.7010565569,505.8079827937,13.865062
Region.I,Feb,2015,14.21,19.7110006215,505.8392104108,13.53767
Region.I,Mar,2015,17.04,25,505.8697006586,31.429657
Region.I,Apr,2015,21.69,23.1976382846,505.9404881743,13.455822
Region.I,May,2015,23.1,9.9285270354,505.9707940798,40.547531
Region.I,Jun,2015,23.87,18.1075201989,506.0621173478,13.324865
Region.I,Jul,2015,23.71,4.9192044748,506.092128305,3.765011
Region.I,Aug,2015,23.29,18.4990677439,506.1006080595,1.735179
Region.I,Sep,2015,21.91,1.6500932256,506.1045161203,4.878145
Region.I,Oct,2015,19.17,14.390926041,506.1155029334,7.660979
Region.I,Nov,2015,15.24,12.0665009323,506.1327573906,7.972001
Region.I,Dec,2015,12.59,12.7625854568,506.1507123478,18.415814
Region.I,Jan,2016,12.91,23.3467992542,506.1921894063,13.504792
Region.I,Feb,2016,13.75,23.5891858297,506.2226056045,27.912051
Region.I,Mar,2016,17.59,12.1783716594,506.2854705843,9.073028
Region.I,Apr,2016,20.75,19.4499689248,506.305905332,2.481787
Region.I,May,2016,22.88,11.047234307,506.3114949424,1.772705
Region.I,Jun,2016,23.62,4.3784959602,506.3154875212,3.738797
Region.I,Jul,2016,23.33,8.5736482287,506.3239082352,5.575964
Region.I,Aug,2016,23.07,4.0304536979,506.3364667126,4.641265
Region.I,Sep,2016,21.86,13.9434431324,506.3469200122,8.235022
Region.I,Oct,2016,19.49,12.0602858919,506.365467359,8.073867
Region.I,Nov,2016,16.32,8.3871970168,506.3836517442,15.857655
Region.I,Dec,2016,14.03,15.4599129894,506.4193671834,3.593757
Region.II,Jan,2008,18.6,24.3536357986,477.0472027972,3.232928
Region.II,Feb,2008,20.84,24.3163455562,477.0544841666,2.297784
Region.II,Mar,2008,22.93,13.1168427595,477.0596593558,5.423838
Region.II,Apr,2008,26.21,16.0130515848,477.0718752071,13.733265
Region.II,May,2008,28.3,28.5177128651,477.1028059841,13.572955
Region.II,Jun,2008,28.53,75.0559353636,477.1333757026,16.164641
Region.II,Jul,2008,27.49,55.9819763828,477.1697825517,9.324727
Region.II,Aug,2008,26.68,18.0453697949,477.1907841891,11.408763
Region.II,Sep,2008,25.81,7.0571783717,477.2164796013,18.115085
Region.II,Oct,2008,24.44,17.218769422,477.2572793422,2.271065
Region.II,Nov,2008,21,24.515226849,477.2623943535,1.629823
Region.II,Dec,2008,18.44,24.1485394655,477.266065126,2.351221
Region.II,Jan,2009,18.2,22.8558110628,477.2713606688,6.231395
Region.II,Feb,2009,19.98,20.7862026103,477.2853953422,7.493449
Region.II,Mar,2009,22.15,23.2287134866,477.3022724796,10.753757
Region.II,Apr,2009,26.61,9.0335612181,477.3264926531,4.075385
Region.II,May,2009,27.95,1.140459913,477.3356714481,7.493449
Region.II,Jun,2009,27.91,35.5096333126,477.3525485855,10.701171
Region.II,Jul,2009,27,37.0882535736,477.376650322,1.130591
Region.II,Aug,2009,26.8,7.1814791796,477.3791966981,1.919375
Region.II,Sep,2009,26.02,14.0739589807,477.3835196148,1.998253
Region.II,Oct,2009,24.35,33.937228092,477.3880201846,6.073638
Region.II,Nov,2009,20.92,22.4704785581,477.4016995495,5.758124
Region.II,Dec,2009,18.7,24.4655065258,477.4146682972,9.570581
Region.II,Jan,2010,18.96,24.1298943443,477.4362236598,2.483559
Region.II,Feb,2010,19.66,12.7998756992,477.4418172612,6.053674
Region.II,Mar,2010,22.63,12.6382846489,477.4554516621,5.74323
Region.II,Apr,2010,25.73,2.3337476694,477.4683868648,1.397002
Region.II,May,2010,28.24,14.2106898695,477.4715332657,1.526354
Region.II,Jun,2010,28.46,27.2436295836,477.4749709999,1.552224
Region.II,Jul,2010,27.29,8.2753262896,477.4784669999,7.217843
Region.II,Aug,2010,26.49,30.7178371659,477.4947234031,4.294487
Region.II,Sep,2010,26.38,1.5879428216,477.5043956711,12.288442
Region.II,Oct,2010,23.97,18.5798632691,477.5320723422,2.017891
Region.II,Nov,2010,21.87,25,477.5366171418,5.458655
Region.II,Dec,2010,18.73,25,477.5489114098,3.88056
Region.II,Jan,2011,17.93,21.8489745183,477.5576514098,0.814374
Region.II,Feb,2011,19,21.3082660037,477.5594855855,3.74103
Region.II,Mar,2011,22.69,14.4095711622,477.5679113287,1.88324
Region.II,Apr,2011,26.23,6.3859540087,477.5721528603,12.368304
Region.II,May,2011,29.17,3.2162834058,477.6000094008,5.344329
Region.II,Jun,2011,28.58,43.9434431324,477.6120461778,20.91923
Region.II,Jul,2011,27.77,32.0975761342,477.6591615607,2.112282
Region.II,Aug,2011,27.32,5.3480422623,477.6639189526,11.935668
Region.II,Sep,2011,26.82,12.0975761342,477.6908010877,2.49402
Region.II,Oct,2011,25.46,5.0497203232,477.6964182499,2.061384
Region.II,Nov,2011,22.18,23.1168427595,477.7010610067,7.507509
Region.II,Dec,2011,18.31,23.8191423244,477.7179698107,3.232046
Region.II,Jan,2012,18.52,24.4157862026,477.7252491936,24.506129
Region.II,Feb,2012,19.68,15.0062150404,477.7804431778,16.145509
Region.II,Mar,2012,24.24,22.8868862648,477.8168069368,57.648228
Region.II,Apr,2012,26.84,10.0279676818,477.9466452882,4.380564
Region.II,May,2012,28.16,2.6817899316,477.9565114233,30.363569
Region.II,Jun,2012,27.81,0.3946550653,478.02489784,3.804833
Region.II,Jul,2012,27.08,54.4592914854,478.0334672837,3.929992
Region.II,Aug,2012,26.77,9.3816034804,478.042318617,12.11539
Region.II,Sep,2012,26,13.3654443754,478.0696055314,16.821367
Region.II,Oct,2012,24.6,21.8862647607,478.1074914931,35.745406
Region.II,Nov,2012,21.03,24.4779366066,478.1879991643,35.520119
Region.II,Dec,2012,18.17,24.8259788689,478.2679994323,78.599841
Region.II,Jan,2013,18.16,22.6320696085,478.4450261013,7.435678
Region.II,Feb,2013,19.94,22.4642635177,478.4617731238,57.712682
Region.II,Mar,2013,22.46,13.8688626476,478.5917566418,9.036073
Region.II,Apr,2013,25.29,9.4810441268,478.6121081576,4.333375
Region.II,May,2013,26.97,9.5804847732,478.6218680112,9.553123
Region.II,Jun,2013,27.41,16.9639527657,478.643384054,36.858313
Region.II,Jul,2013,27.15,35.8266003729,478.7263982724,43.309133
Region.II,Aug,2013,26.64,2.6942200124,478.8239413648,42.398139
Region.II,Sep,2013,25.79,7.1690490988,478.9194326688,72.928739
Region.II,Oct,2013,23.85,5.640149161,479.0836865855,13.664905
Region.II,Nov,2013,20.8,23.844002486,479.1144633986,85.855001
Region.II,Dec,2013,18.39,24.4157862026,479.3078305179,21.346798
Region.II,Jan,2014,17.25,16.000621504,479.3559088918,3.851407
Region.II,Feb,2014,19.58,21.3206960845,479.3645832319,6.176785
Region.II,Mar,2014,22.64,17.2747047856,479.3784949098,43.89151
Region.II,Apr,2014,25.26,5.5966438782,479.4773496621,34.78378
Region.II,May,2014,28.27,13.2722187694,479.5556915089,25.361154
Region.II,Jun,2014,27.58,28.0142945929,479.6128112251,56.0513
Region.II,Jul,2014,27.74,13.1852082039,479.7390528918,14.703172
Region.II,Aug,2014,26.97,16.640770665,479.772168144,55.009724
Region.II,Sep,2014,26,1.1155997514,479.8960639188,11.869117
Region.II,Oct,2014,24.54,13.3157240522,479.9227961643,3.681849
Region.II,Nov,2014,21.71,20.9912989434,479.931088617,4.77187
Region.II,Dec,2014,18.37,18.1945307645,479.941836072,20.27439
Region.II,Jan,2015,18.78,20.9975139838,479.9874991125,24.076689
Region.II,Feb,2015,19.15,19.7607209447,480.0417258895,19.404381
Region.II,Mar,2015,23.15,12.4145431945,480.0854294504,36.901697
Region.II,Apr,2015,26.19,10.1398384089,480.1685413805,14.016924
Region.II,May,2015,28.2,15.7458048477,480.2001110292,44.100866
Region.II,Jun,2015,28.3,19.8042262275,480.299437304,6.007253
Region.II,Jul,2015,27.28,1.6190180236,480.3129671531,2.979788
Region.II,Aug,2015,26.84,40.5997513984,480.3196783873,3.027465
Region.II,Sep,2015,25.84,14.5898073337,480.3264970022,10.369663
Region.II,Oct,2015,24.36,2.5574891237,480.349852099,21.192254
Region.II,Nov,2015,21.48,19.2075823493,480.3975824008,15.280354
Region.II,Dec,2015,18.58,23.452454941,480.4319976125,16.114695
Region.II,Jan,2016,18.27,20.6370416408,480.4682919706,12.133091
Region.II,Feb,2016,19.16,18.1448104413,480.4956187522,22.177507
Region.II,Mar,2016,23.02,18.4431323804,480.5455680922,4.036541
Region.II,Apr,2016,25.73,7.4300807955,480.5546594008,0.586707
Region.II,May,2016,27.06,16.1187072716,480.555980813,1.267286
Region.II,Jun,2016,27.76,41.202610317,480.5588350607,5.256891
Region.II,Jul,2016,27.48,7.3927905531,480.5706749053,9.974011
Region.II,Aug,2016,26.61,31.4201367309,480.593138894,4.928335
Region.II,Sep,2016,26.34,17.4425108763,480.6042387477,7.69759
Region.II,Oct,2016,24.85,15.5407085146,480.6215756621,8.190423
Region.II,Nov,2016,21.84,10.6183965196,480.6400225607,2.792723
Region.II,Dec,2016,18.78,21.2771908017,480.6463124774,1.149945
Region.III,Jan,2008,22.4,24.5649471722,438.1860381862,5.836376
Region.III,Feb,2008,24.14,20.5562461156,438.1973053213,2.581158
Region.III,Mar,2008,29.07,20.4940957116,438.2022882518,2.811325
Region.III,Apr,2008,31.91,18.8471100062,438.2077155202,16.054144
Region.III,May,2008,33.41,6.187072716,438.2387080762,20.599942
Region.III,Jun,2008,33.18,0.9415786203,438.278476304,7.759914
Region.III,Jul,2008,31.21,4.5338719702,438.2934568329,12.478337
Region.III,Aug,2008,30.39,2.296457427,438.3175462866,10.521918
Region.III,Sep,2008,30.47,2.2902423866,438.3378588696,17.640652
Region.III,Oct,2008,29.97,16.124922312,438.3719141823,3.96216
Region.III,Nov,2008,27.31,22.2094468614,438.3795631399,0.830245
Region.III,Dec,2008,24.49,24.8011187073,438.3811659294,1.578288
Region.III,Jan,2009,24.93,22.5699192045,438.3842128175,9.529202
Region.III,Feb,2009,26.58,23.1106277191,438.4026089603,12.295744
Region.III,Mar,2009,29.77,19.2324425109,438.4263459179,5.70296
Region.III,Apr,2009,31.78,13.2473586078,438.4373554932,4.238796
Region.III,May,2009,33.73,15.3045369795,438.445538497,8.129752
Region.III,Jun,2009,32.91,0.7364822871,438.4612329989,14.180552
Region.III,Jul,2009,30.92,0.0839030454,438.488608582,2.224559
Region.III,Aug,2009,30.73,6.8893722809,438.4929030974,0.444912
Region.III,Sep,2009,29.8,4.1112492231,438.4937620009,1.04352
Region.III,Oct,2009,29.12,17.8775637042,438.4957765182,7.037696
Region.III,Nov,2009,26.31,24.7576134245,438.509362804,8.137841
Region.III,Dec,2009,24.04,21.6811684276,438.5250729217,3.858599
Region.III,Jan,2010,23.44,22.0602858919,438.5325219545,2.284333
Region.III,Feb,2010,25.03,24.2604101927,438.5369318638,5.85808
Region.III,Mar,2010,27.83,18.6482287135,438.5482408986,7.298722
Region.III,Apr,2010,31.39,16.218147918,438.5623310955,1.727179
Region.III,May,2010,32.91,4.4095711622,438.5656654179,0.596951
Region.III,Jun,2010,33,2.6507147296,438.5668178329,0.85961
Region.III,Jul,2010,31.34,4.3039154755,438.5684773117,4.218454
Region.III,Aug,2010,29.98,0.2703542573,438.5766210453,5.332763
Region.III,Sep,2010,29.85,7.1131137352,438.5869159545,3.072308
Region.III,Oct,2010,29.04,10.9540087011,438.5928470511,1.520235
Region.III,Nov,2010,26.08,23.9185829708,438.5957818677,4.130902
Region.III,Dec,2010,23.65,24.9813548788,438.603756582,4.250292
Region.III,Jan,2011,22.5,24.6892479801,438.6119617789,1.941779
Region.III,Feb,2011,24.73,19.2013673089,438.615710387,0.939571
Region.III,Mar,2011,28.21,16.9390926041,438.6175242306,0.767316
Region.III,Apr,2011,32.02,9.0957116221,438.6190055356,3.609517
Region.III,May,2011,32.64,7.8154133002,438.6259737152,5.40253
Region.III,Jun,2011,32.07,3.7072715973,438.6364033098,3.648665
Region.III,Jul,2011,30.36,2.1845866998,438.6434470646,1.518972
Region.III,Aug,2011,30.09,6.1684275948,438.646379443,3.664325
Region.III,Sep,2011,30.04,8.7165941579,438.6534534294,2.341097
Region.III,Oct,2011,29.2,18.4120571784,438.6579729217,5.488658
Region.III,Nov,2011,26.36,24.1423244251,438.6685687866,2.505521
Region.III,Dec,2011,23.63,18.4493474208,438.6734056997,1.315399
Region.III,Jan,2012,22,24.1361093847,438.67594508,8.240433
Region.III,Feb,2012,22.83,22.7936606588,438.6918532518,12.99986
Region.III,Mar,2012,26.68,19.4437538844,438.7169495067,9.71909
Region.III,Apr,2012,30.01,12.6382846489,438.7357122287,2.849495
Region.III,May,2012,33.32,2.8993163456,438.7412131843,6.315098
Region.III,Jun,2012,33.25,3.9123679304,438.7534044932,3.519512
Region.III,Jul,2012,31.44,4.7078931013,438.7601989179,9.557362
Region.III,Aug,2012,30.68,6.7277812306,438.7786494237,2.926509
Region.III,Sep,2012,30.12,5.7085146053,438.7842990549,6.715568
Region.III,Oct,2012,30.67,10.6370416408,438.7972634719,26.153747
Region.III,Nov,2012,27.52,22.65692977,438.847753331,37.605638
Region.III,Dec,2012,23.82,24.9751398384,438.9203510877,21.894907
Region.III,Jan,2013,22.28,24.1796146675,438.962619248,6.090374
Region.III,Feb,2013,23.69,23.9123679304,438.9743767267,22.952528
Region.III,Mar,2013,27.31,22.6817899316,439.0186866264,12.248924
Region.III,Apr,2013,31.93,11.7930391548,439.0423331978,9.082535
Region.III,May,2013,34.11,16.8085767557,439.0598670491,3.007311
Region.III,Jun,2013,32.19,2.3896830329,439.0656726688,18.793803
Region.III,Jul,2013,31.01,5.5407085146,439.1019541418,56.707138
Region.III,Aug,2013,30.3,1.0596643878,439.2114273812,39.18595
Region.III,Sep,2013,29.92,0.8545680547,439.2870759333,23.10403
Region.III,Oct,2013,29.55,0.9477936607,439.3316783078,12.604953
Region.III,Nov,2013,27.6,21.5817277812,439.3560121939,44.829394
Region.III,Dec,2013,24.72,24.5587321318,439.4425554256,25.11143
Region.III,Jan,2014,24.46,24.7638284649,439.4910330897,6.491048
Region.III,Feb,2014,24.01,24.6208825357,439.5035640704,2.585986
Region.III,Mar,2014,27.04,16.3859540087,439.5085563213,19.137785
Region.III,Apr,2014,31.79,11.0285891858,439.5455018522,35.287154
Region.III,May,2014,32.68,2.5077688005,439.6136237711,27.670792
Region.III,Jun,2014,31.92,10.6619018024,439.6670422885,24.466257
Region.III,Jul,2014,31.05,14.6830329397,439.7142744449,16.194083
Region.III,Aug,2014,29.58,10.3822249845,439.7455371534,51.734619
Region.III,Sep,2014,30.67,2.3834679925,439.8454109352,24.898496
Region.III,Oct,2014,29.87,20.2952144189,439.8934775298,4.501255
Region.III,Nov,2014,27.78,21.749533872,439.9021672113,2.399675
Region.III,Dec,2014,24.44,24.7203231821,439.9067997885,9.785012
Region.III,Jan,2015,23.57,23.9123679304,439.9256897731,17.330592
Region.III,Feb,2015,25.26,23.875077688,439.9591465144,22.053783
Region.III,Mar,2015,28.86,23.9247980112,440.001721385,19.772863
Region.III,Apr,2015,32.42,15.609073959,440.0398929352,18.408711
Region.III,May,2015,33.02,16.7526413922,440.0754309874,54.199353
Region.III,Jun,2015,33.12,2.7252952144,440.180062943,19.934214
Region.III,Jul,2015,30.61,0.077688005,440.2185459816,2.207579
Region.III,Aug,2015,29.55,1.8241143567,440.2228077171,2.398266
Region.III,Sep,2015,29.59,1.6935985084,440.2274375742,9.160351
Region.III,Oct,2015,29.35,18.0950901181,440.2451216495,10.898544
Region.III,Nov,2015,26.88,19.7296457427,440.2661613098,16.626513
Region.III,Dec,2015,23.73,24.6457426973,440.2982588252,18.284031
Region.III,Jan,2016,22.67,22.0851460534,440.3335561823,19.891922
Region.III,Feb,2016,24.36,23.5021752641,440.3719575762,41.690003
Region.III,Mar,2016,29.22,13.8626476072,440.4524402074,16.657229
Region.III,Apr,2016,30.79,13.9247980112,440.4845970202,2.231072
Region.III,May,2016,33.06,8.1385954009,440.488904109,1.256332
Region.III,Jun,2016,31.7,2.5823492853,440.4913294603,8.592155
Region.III,Jul,2016,29.81,0.8980733375,440.5079166321,9.747403
Region.III,Aug,2016,29.81,1.233685519,440.5267340125,8.931509
Region.III,Sep,2016,30.06,1.7681789932,440.5439763078,14.5128
Region.III,Oct,2016,29.25,7.1814791796,440.5719932962,10.693262
Region.III,Nov,2016,27.69,24.7078931013,440.5926366592,22.852245
Region.III,Dec,2016,23.69,24.8508390305,440.6367529623,14.317852
Region.IV,Jan,2008,18.27,24.6581727781,398.0524233432,5.815181
Region.IV,Feb,2008,19.16,24.4592914854,398.072069225,2.155903
Region.IV,Mar,2008,23.02,23.781852082,398.079352681,5.07309
Region.IV,Apr,2008,25.73,23.844002486,398.0964914986,12.302083
Region.IV,May,2008,27.06,14.8321939093,398.1380525898,8.885904
Region.IV,Jun,2008,27.76,8.6357986327,398.1680725358,10.293319
Region.IV,Jul,2008,27.48,1.8178993163,398.2028472621,8.163005
Region.IV,Aug,2008,26.61,19.0522063393,398.2304249817,12.353262
Region.IV,Sep,2008,26.34,2.3026724674,398.272158975,19.652626
Region.IV,Oct,2008,24.85,16.218147918,398.3385529817,3.339411
Region.IV,Nov,2008,21.84,24.9813548788,398.3498347756,2.040751
Region.IV,Dec,2008,18.78,25,398.3567292047,3.428974
Region.IV,Jan,2009,18.61,24.7886886265,398.3683135763,6.817955
Region.IV,Feb,2009,22.12,23.1852082039,398.3913472081,6.723524
Region.IV,Mar,2009,24.26,24.9440646364,398.4140618162,7.711907
Region.IV,Apr,2009,27.11,17.2747047856,398.440115556,3.519148
Region.IV,May,2009,30.78,4.2666252331,398.4520045696,8.933221
Region.IV,Jun,2009,28.04,7.9583592293,398.4821843702,13.088208
Region.IV,Jul,2009,27.4,6.1000621504,398.5264012891,2.215993
Region.IV,Aug,2009,26.59,4.1174642635,398.533887752,2.052312
Region.IV,Sep,2009,25.92,8.8036047234,398.5408212385,3.04699
Region.IV,Oct,2009,23.84,14.7576134245,398.5511151236,4.847484
Region.IV,Nov,2009,21.1,24.4468614046,398.5674917587,5.5148
Region.IV,Dec,2009,19.24,24.9316345556,398.5861228398,5.835867
Region.IV,Jan,2010,18.3,24.3412057178,398.6058386067,2.434358
Region.IV,Feb,2010,20.5,22.9552517091,398.6140627891,5.915553
Region.IV,Mar,2010,23.65,24.390926041,398.6340477655,8.70918
Region.IV,Apr,2010,26.55,21.656308266,398.6634706709,1.375134
Region.IV,May,2010,29.8,5.422622747,398.6681163939,1.573351
Region.IV,Jun,2010,28.03,2.0913610938,398.6734317689,2.050312
Region.IV,Jul,2010,27.26,2.9117464264,398.6803584986,2.620187
Region.IV,Aug,2010,26.95,8.312616532,398.6892104817,4.874911
Region.IV,Sep,2010,26.04,2.4456183965,398.7056797756,5.45098
Region.IV,Oct,2010,23.94,22.7625854568,398.7240952486,1.548574
Region.IV,Nov,2010,21.28,24.8570540709,398.7293269175,3.846658
Region.IV,Dec,2010,18.39,25,398.7423223837,5.14746
Region.IV,Jan,2011,18.23,23.5767557489,398.7597124513,0.95667
Region.IV,Feb,2011,19.35,24.5835922933,398.7629444446,1.596481
Region.IV,Mar,2011,23.21,22.4642635177,398.7683379614,3.308738
Region.IV,Apr,2011,26.81,17.7097576134,398.7795161304,2.157078
Region.IV,May,2011,28.33,5.4101926663,398.786803556,6.62357
Region.IV,Jun,2011,28.95,10.7613424487,398.8091804817,6.763719
Region.IV,Jul,2011,26.89,28.0267246737,398.8320308837,1.730537
Region.IV,Aug,2011,26.71,1.749533872,398.8378772925,3.448887
Region.IV,Sep,2011,25.89,5.6587942822,398.8495289378,3.863241
Region.IV,Oct,2011,23.89,4.7141081417,398.8625804277,1.578201
Region.IV,Nov,2011,21.23,24.2293349907,398.8679121878,5.008808
Region.IV,Dec,2011,19.08,24.9937849596,398.8848338364,4.308062
Region.IV,Jan,2012,18.06,24.9564947172,398.8993881,4.62099
Region.IV,Feb,2012,19.97,22.8185208204,398.9149995527,14.246555
Region.IV,Mar,2012,24.12,22.110006215,398.963129806,17.548975
Region.IV,Apr,2012,26.87,21.7557489124,399.0224168837,2.24157
Region.IV,May,2012,27.43,6.2678682411,399.0299897554,5.777736
Region.IV,Jun,2012,28.6,20.7986326911,399.0495091337,5.430113
Region.IV,Jul,2012,27.5,12.0478558111,399.0678541101,1.857986
Region.IV,Aug,2012,26.91,4.6892479801,399.0741310898,7.389989
Region.IV,Sep,2012,25.72,4.6208825357,399.0990972689,15.073659
Region.IV,Oct,2012,24.5,15.4474829086,399.1500217925,12.028959
Region.IV,Nov,2012,21.04,24.7016780609,399.1906601675,27.588092
Region.IV,Dec,2012,18.97,21.6935985084,399.283863181,34.450652
Region.IV,Jan,2013,17.53,24.5898073337,399.4002505189,5.028649
Region.IV,Feb,2013,19.08,23.90615289,399.4172391979,14.41389
Region.IV,Mar,2013,23.5,24.4592914854,399.4659347723,12.645314
Region.IV,Apr,2013,27.24,14.7265382225,399.5086554277,3.207017
Region.IV,May,2013,27.82,6.0192666252,399.5194899446,6.496567
Region.IV,Jun,2013,27.76,15.3356121815,399.541437806,36.397282
Region.IV,Jul,2013,27.01,38.4431323804,399.6644015966,24.960494
Region.IV,Aug,2013,26.64,7.0012430081,399.7487275898,31.669291
Region.IV,Sep,2013,26.29,10.5438160348,399.8557184378,31.280204
Region.IV,Oct,2013,24.61,11.9546302051,399.9613948027,12.668895
Region.IV,Nov,2013,21.29,24.6519577377,400.0041951236,25.591286
Region.IV,Dec,2013,18.63,24.9316345556,400.0906521709,21.56483
Region.IV,Jan,2014,18.65,23.781852082,400.1635063263,1.832729
Region.IV,Feb,2014,20.7,24.6892479801,400.1696979783,5.596782
Region.IV,Mar,2014,22.87,24.6581727781,400.1886060256,36.202192
Region.IV,Apr,2014,25.3,19.1951522685,400.3109107283,15.16641
Region.IV,May,2014,27.69,13.9496581728,400.3621486,29.074269
Region.IV,Jun,2014,28.97,9.6799254195,400.4603724817,22.938108
